Ingredients,Reason
Benzalkonium Chloride,"A disinfectant used as a preservative and surfactant associated with severe skin, eye, and respiratory irritation and allergies. Found in: sunscreens, moisturizers."
Butylatedhydroxy Anisole and Butylated Hydroxytoluene,"Synthetic antioxidants used to extend shelf life. They are likely carcinogens and hormone disruptors and may cause liver damage. Found in: lipsticks, moisturizers, diaper creams, and other cosmetics."
Ethylenediaminetetraacetic acid,"A chelating (binding) agent added to cosmetics to improve stability. May be toxic to organs. Found in: hair color, moisturizers."
EDTA,"A chelating (binding) agent added to cosmetics to improve stability. May be toxic to organs. Found in: hair color, moisturizers."
Ethanolamines,"Surfactants and pH adjuster linked to allergies, skin toxicity, hormone disruption, and inhibited fetal brain development. Found in: hair dyes, mascara, foundation, fragrances, sunscreens, dry cleaning solvents, paint, pharmaceuticals."
mea,"Surfactants and pH adjuster linked to allergies, skin toxicity, hormone disruption, and inhibited fetal brain development. Found in: hair dyes, mascara, foundation, fragrances, sunscreens, dry cleaning solvents, paint, pharmaceuticals."
dea,"Surfactants and pH adjuster linked to allergies, skin toxicity, hormone disruption, and inhibited fetal brain development. Found in: hair dyes, mascara, foundation, fragrances, sunscreens, dry cleaning solvents, paint, pharmaceuticals."
tea,"Surfactants and pH adjuster linked to allergies, skin toxicity, hormone disruption, and inhibited fetal brain development. Found in: hair dyes, mascara, foundation, fragrances, sunscreens, dry cleaning solvents, paint, pharmaceuticals."
Formaldehyde,"Used as a preservative in cosmetics. A known carcinogen that is also linked to asthma, neurotoxicity, and developmental toxicity. Present where quaternium-15, DMDM hydantoin, imidazolidinyl urea, diazolidinyl urea, sodium hydroxymethylglycinate, 2-bromo-2-nitropropane-1,3 diol (Bronopol), and several other preservatives are listed. Found in: shampoo, body wash, bubble bath."
Hydroquinone,"A skin-lightening chemical that inhibits the production of melanin and is linked to cancer, organ toxicity, and skin irritation. Found in: skin-lightening creams."
Methylisothiazolinone,"Chemical preservatives that are among the most common irritants, sensitizers, and causes of contact skin allergies. Found in: shampoo, conditioner, body wash."
methylchloroisothiazolinone,"Chemical preservatives that are among the most common irritants, sensitizers, and causes of contact skin allergies. Found in: shampoo, conditioner, body wash."
Oxybenzone,"Sunscreen agent and ultraviolet light absorber linked to irritation, sensitization and allergies, and possible hormone disruption. Found in: sunscreen, moisturizer."
methylparaben,"A class of preservatives commonly used to prevent the growth of bacteria and mold. Parabens are endocrine (or hormone) disruptors, which may alter important hormone mechanisms in our bodies. Found in: shampoo, face cleanser, body wash, body lotion, foundation."
isobutylparaben,"A class of preservatives commonly used to prevent the growth of bacteria and mold. Parabens are endocrine (or hormone) disruptors, which may alter important hormone mechanisms in our bodies. Found in: shampoo, face cleanser, body wash, body lotion, foundation."
propylparaben,"A class of preservatives commonly used to prevent the growth of bacteria and mold. Parabens are endocrine (or hormone) disruptors, which may alter important hormone mechanisms in our bodies. Found in: shampoo, face cleanser, body wash, body lotion, foundation."
